[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
[2017-05-09 10:34:02] [WARN ] -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.5.3, current host: 127.0.0.1
